State,Latitude,Longitude,Max Temp,Min Temp,Critical Hours
Alabama,33.5207,-86.8025,60,-9,1
Alaska,58.3019,-134.4197,43,-19,0
Arizona,33.4484,-112.074,64,0,209
Arkansas,34.7465,-92.2896,60,-11,13
California,34.0522,-118.2437,59,2,0
Colorado,39.7392,-104.9903,60,-15,1
Connecticut,41.1792,-73.1894,55,-9,0
Delaware,39.7391,-75.5398,59,-14,0
Florida,30.3322,-81.6557,59,-2,0
Georgia,33.749,-84.388,57,-9,0
Hawaii,21.3069,-157.8583,50,21,0
Idaho,43.615,-116.2023,59,-14,0
Illinois,41.8781,-87.6298,51,-13,0
Indiana,39.7684,-86.158,53,-15,0
Iowa,41.5868,-93.625,51,-32,0
Kansas,37.6872,-97.3301,61,-17,2
Kentucky,38.2527,-85.7585,58,-12,0
Louisiana,29.9509,-90.0758,55,-1,0
Maine,43.6591,-70.2568,50,-13,0
Maryland,39.2904,-76.6122,59,-13,0
Massachusetts,42.3601,-71.0589,53,-14,0
Michigan,42.3314,-83.0458,52,-14,0
Minnesota,44.9778,-93.265,52,-35,0
Mississippi,32.2988,-90.1848,61,-8,4
Missouri,39.0997,-94.5786,57,-21,0
Montana,45.7597,-108.5531,57,-22,0
Nebraska,41.2565,-95.9345,54,-29,0
Nevada,36.1716,-115.1391,67,-2,147
New Hampshire,42.9956,-71.465,53,-16,0
New Jersey,40.7357,-74.1724,56,-10,0
New Mexico,35.0844,-106.6504,61,-6,2
New York,40.7128,-73.8292,55,-9,0
North Carolina,35.2271,-80.8431,59,-8,0
North Dakota,46.8772,-96.7898,55,-36,0
Ohio,39.9612,-82.9988,54,-15,0
Oklahoma,35.4676,-97.5164,61,-13,1
Oregon,45.5152,-122.6784,55,-7,0
Pennsylvania,39.9526,-75.1652,57,-15,0
Rhode Island,41.8236,-71.4222,55,-14,0
South Carolina,32.7833,-79.932,55,0,0
South Dakota,43.546,-96.7313,52,-35,0
Tennessee,35.1495,-90.049,60,-10,1
Texas,29.7604,-95.3698,59,-4,0
Utah,40.7608,-111.891,59,-19,0
Vermont,44.4759,-73.2121,53,-22,0
Virginia,36.8516,-75.9792,56,-3,0
Washington,47.6062,-122.3321,50,-8,0
West Virginia,38.3498,-81.6326,58,-14,0
Wisconsin,43.0389,-87.9065,50,-18,0
Wyoming,41.14,-104.8202,58,-19,0
